exercise_id,exercise_name,category,fitness_level,impact_level,calories_per_min,duration_min,reps,sets,yt_url,rest_time_sec,voice_cue_text,estimated_calories_burned
EX001_LevelI,Squats,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Squats%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX001_LevelII,Squats,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Squats%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX001_LevelIII,Squats,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Squats%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX002_LevelI,Wall Sit,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Wall%20Sit%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX002_LevelII,Wall Sit,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Wall%20Sit%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX002_LevelIII,Wall Sit,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Wall%20Sit%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX003_LevelI,Jump Squats,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Jump%20Squats%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX003_LevelII,Jump Squats,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Jump%20Squats%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX003_LevelIII,Jump Squats,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Jump%20Squats%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX004_LevelI,Reverse Lunges,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Reverse%20Lunges%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX004_LevelII,Reverse Lunges,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Reverse%20Lunges%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX004_LevelIII,Reverse Lunges,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Reverse%20Lunges%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX005_LevelI,Split Lunges,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Split%20Lunges%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
